S809
 1.00000     0.00000
 0.99620     0.00049
 0.98519     0.00237
 0.96784     0.00596
 0.94507     0.01102
 0.91749     0.01703
 0.88529     0.02346
 0.84846     0.03028
 0.80747     0.03777
 0.76304     0.04597
 0.71595     0.05487
 0.66706     0.06435
 0.61733     0.07421
 0.56783     0.08410
 0.51983     0.09327
 0.47424     0.09939
 0.42846     0.10176
 0.38261     0.10184
 0.33726     0.10007
 0.29297     0.09670
 0.25025     0.09191
 0.20958     0.08585
 0.17141     0.07869
 0.13617     0.07058
 0.10426     0.06170
 0.07604     0.05222
 0.05182     0.04235
 0.03191     0.03230
 0.01659     0.02229
 0.00603     0.01261
 0.00066     0.00372
 0.00020     0.00194
 0.00000    -0.00002
 0.00021    -0.00179
 0.00105    -0.00348
 0.00121    -0.00372
 0.00240    -0.00527
 0.00931    -0.01150
 0.02323    -0.02040
 0.04232    -0.03027
 0.06588    -0.04082
 0.09343    -0.05192
 0.12411    -0.06308
 0.15765    -0.07373
 0.19374    -0.08357
 0.23191    -0.09244
 0.27144    -0.09990
 0.31197    -0.10528
 0.35337    -0.10818
 0.39533    -0.10801
 0.43827    -0.10455
 0.48192    -0.09735
 0.52793    -0.08657
 0.57621    -0.07398
 0.62609    -0.06064
 0.67674    -0.04744
 0.72721    -0.03510
 0.77643    -0.02420
 0.82328    -0.01516
 0.86663    -0.00820
 0.90536    -0.00336
 0.93847    -0.00049
 0.96509     0.00074
 0.98448     0.00078
 0.99614     0.00029
 1.00000     0.00000
